Name	Number	Ctf
no appliances	1	0
water dispenser PRIMO	1	5
Basket Ball court pole	1	50
Lawn- Edger	1	5
TV- Flat Screen	1	20
Personal Computer	1	5
Sword	1	3
steamer machine	1	4
IKEA Screen Print	1	10
Game	1	5
.A LOT NOT GOING	1	0
.APPLIANCE NOTES	1	0
.FURNITURE, MOSTLY	1	0
Vacuum/Floor cleaner	1	7
Dehydrator	1	5
Desk - School	1	5
belt Sander	1	15
Rotor Table	1	10
Bball Hoop	1	15
Foosball Tbl	1	30
Bow in case	1	5
fooseball table	1	10
penball game	1	20
hand tool	1	1
art small	1	5
wicker chair	1	6
WICKER LOVE SEAT	1	10
Drum Set ea piece	1	3
Piano - Digital Keyboard	1	12
Kitchen Bench	1	10
Hutch Bottom	1	20
Blanket Rack	1	5
.ARTWORK / VALUABLE &/OR SEVERAL PIECES	1	0
.EXERCISE EQUIP - ROWER	1	0
Home Gym - Cust to Disass	1	75
Misc HHG - Group	1	30
Filing Cabinet - 5-door	1	30
SCUBA Equipment	1	10
Fireplace/Medium	1	14
Barrel 30 gal.	1	6
Dryer/Front Load	1	50
Washer/Front Load	1	50
guitar amp	1	5
jungle gym	1	100
.GLASS TOP(S) CRATE(S)	1	0
.UNCRATE - 3RD PARTY	1	0
Motorcycle (Large)	1	75
Wine / Spirits	1	2
Nothing moving	1	0
Bed parts	1	20
drawers	1	7
mantle	1	8
Oven - Gas - 3rd party	1	30
Refrigerator - 3rd Party	1	35
Garden Tractor	1	200
Power Tool, Case	1	1
toaster oven	1	3
NOTHING	1	0
Ab Roller	1	3
Chairs - Patio	1	3
Christmas tree  14 feet	1	25
Bench - Bed	1	10
Carrier	1	15
Bow Case	1	5
Hydraulic Lift Stand	1	15
Industrial Metal Shelf	1	15
Scalfolding	1	15
Table - Bedside	1	5
Dryer - Front Loading	1	25
Table - Deck/Patio	1	15
rototiller	1	20
centrifuge	1	10
wall mount desk	1	25
Papasan Chair	1	15
punching man	1	15
Manican	1	5
Antique Radio	1	10
Tie Rack	1	3
DRUMS	1	2
POTTING TABLE	1	10
CHALK BOARD	1	4
Fooz Ball	1	40
Peanuts - how much, which items?	1	0
Pillowtop Mattresses - how many, which room?	1	0
Trailer - Utility	1	25
tower	1	25
Hand Drum	1	10
Table - Couch	1	12
BED - King	1	70
Chest of Drawers Small	1	12
Safe - Small, Fire	1	7
Bench - Large	1	10
CornHole Game	1	3
Power Washer - SM	1	5
Shepherds Hook	1	2
Crate - Small, Wood	1	3
Sofa Chair - Overstuffed	1	25
PlayHouse	1	15
.DRIVER - TIGHT APT. COMPLEX	1	0
divider	1	3
Shelf Open Wood or Plastic Medium	1	5
Washing Machine (Top Loader)	1	30
cabinet - storage	1	15
computer equipment	1	4
Chair Aluminum	1	1
Stool Bar	1	5
Table Card	1	3
Table Coffee/End	1	5
Table Sm.	1	2
track lighting	1	2
armoire med	1	25
Table - Oudoor	1	20
ChristmasTree	1	10
Cabinet, Storage	1	10
Floor Safe	1	3
Drawer Unit	1	10
Tray tables	1	5
Garden Hose on Reel	1	5
Woofer	1	10
small shelf	1	5
Utility Cart	1	2
Chair Recliner	1	25
Pipe Holder w/ 6 Pipes	1	1
ice cest	1	2
Wood Flower Beds Raised	1	10
Exercise Elliptical	1	25
BBQ -Smoker	1	10
Aquarium Cabinet	1	10
Piano Stool	1	5
Wicker Shelf	1	5
Gas Cans empty	1	2
.PILLOW TOP MATTRESS	1	0
Bicycle-Adult	1	5
Shelf-Small Plastic	1	3
Bar Stool-Small	1	2
Sofa-2 Cushion	1	45
Table-Bistro	1	5
TV Stand-Small	1	7
Shelf-Small Wood	1	2
Bike Stand	1	2
Bench LG	1	10
Clothes Bag	1	3
China Closet	1	55
Mattress twin	1	7
Art easel	1	1
Bed frame pieces / rails	1	3
shedder	1	2
Air Compressor Small	1	5
Armoire - LG	1	50
Shower Chair	1	1
Bandsaw	1	12
Cube Small	1	1
Bird Feeded	1	2
razor scooter	1	5
Table, Kitchen	1	30
Shepherd Hook	1	3
Rifle / Shotgun	1	2
Basketball hoop Metal	1	10
Animal Bed	1	2
Baby Bathtub	1	2
Art Tube	1	1
Exercise - Weights - Plates	1	1
Jumper	1	4
Swing - small	1	4
TV Trays - Wood on Rack	1	5
Amp, small	1	3
Ukulele	1	4
Kitchen chairs	1	5
Snack tables	1	10
.Origin-Apartment Complex	1	0
.Origin-Shuttle Needed	1	0
.Origin-Straight Truck Only	1	0
.Partial Move, Lots Not Going	1	0
PlayPen	1	3
basinet	1	5
pack and play	1	5
Desk - Corner	1	15
Chair - Small	1	3
File Cabinet -Lateral 2 drawer	1	18
Desk -Small	1	10
Desk - Office LG	1	40
Tansu Chest	1	15
Footlocker LG	1	10
Two Wheeler	1	3
Brooms/Mops	1	1
No Furniture Going	1	0
dog house plastic	1	4
totes large	1	5
sofa back table	1	6
Concrete Blocks	1	2
awning	1	25
pedestals	1	10
NOTE:	1	0
gates	1	12
train set	1	400
tent/pop up	1	10
dog igloo	1	10
Stepstool	1	3
Crib LG	1	20
Chair Bag Soccer Type	1	1
DVD / CD Player	1	2
Clothing rack	1	3
Little Tykes toy	1	3
Birdcage	1	5
.DESTINATION - HOME	1	0
.FLAT SCREEN TV - < 40" PBO	1	0
.FLAT SCREEN TV - > 40" PBO	1	0
.FURNITURE - ANTIQUE	1	0
.ITEM NOTE 3	1	0
Exercise Bike - Large	1	20
Ladder-Stepstool	1	2
.ORIGIN SHUTTLE (MINI STG)	1	0
.WINDOW TREATMENTS STAY	1	0
Credenza - small	1	12
doors	1	10
LCD TV Dems.   L  X   W X   H	1	0
Table - Demilune	1	7
aluminum chairs	1	2
totes small	1	3
Cabinet- Bathroom	1	5
Car- Ramps	1	3
Chair- Desk	1	7
Island-Kitchen	1	30
Lawn- Weedeater	1	3
POLE	1	10
MAGAZINE RACK	1	5
Tub-Plastic	1	1
TOY-power wheels	1	12
PC - CPU	1	4
bushel basket	1	1
pictures	1	4
weedwacker	1	2
custom rack	1	2
pet cage	1	2
golf club cart	1	2
Kitchen table	1	15
File Cabinet - 2-3 Drawer	1	10
Garden Tools & Hose	1	5
Weed Whip	1	3
Long Carry. Distance:	1	0
Shoe Rack/Shelf	1	1
Sofa - Table	1	8
Pack 'n Play - Playpen	1	5
riding mower	1	50
tool chest, lg roll away	1	70
victrola	1	10
Totem Pole	1	10
Jack - Car/Hydraulic	1	2
Computer tower	1	3
Speaker - Medium	1	3
christmas	1	3
wine 24 bottles	1	4
Milkcan	1	5
jewel armoir	1	10
Basketball System	1	8
Wine Rack - Large	1	10
Exercise - Weights - Dumbbells	1	2
Exercise Equipment - Home Gym	1	45
Partition-Room Divider	1	10
Bed Part - Footbd	1	5
Bed Part - Frame	1	3
Bed Part - Headbd	1	6
Filing Cabinet - 2-Door Lateral	1	20
Desk - Shelf Top	1	25
Fire Pit - Large	1	25
bedroom-2	1	1
large clock	1	7
Pedastal - wooden	1	3
Sandblaster	1	30
Hutch - one piece	1	25
Pillow -wedge	1	3
Iron canopy	1	120
Iron Canopy 2/2	1	35
Desk - Student	1	10
Wood Barrell	1	10
Paddle	1	1
Trolling motor	1	3
Duct work	1	7
Ice shanty	1	6
Miter saw	1	15
Mower - Power	1	15
Dryer - Elec	1	25
Cart, Plastic	1	3
printers	1	5
Computer desk	1	15
Dough Board	1	5
Safe-Gun	1	20
Rolling Rack	1	5
TABLE-DRAFTING	1	15
HAMMOCK STAND	1	25
UMBRELLA-BASE	1	8
PBO 3.0 ctn	1	3
Card table Chair	1	2
attic/misc	1	100
contents of garage	1	350
Christmas Tree Stand	1	5
wicket basket	1	1
bag chairs	1	1
plastic golf club carrier	1	2
Quilt Foam	1	5
Leaf Catcher	1	10
room decider	1	15
secretary	1	25
rods metal	1	1
PC	1	1
miscellaneous medium	1	10
TOOLS MISCELLANEOUS	1	2
Amp for Guitar	1	7
Drum - Comga	1	5
Joyner	1	20
guitar not in case	1	3
skimboard	1	5
Speaker - Large`	1	5
Swing - Baby	1	2
Cabinet large	1	35
.ATTIC NOTES	1	0
.BASEMENT NOTES	1	0
.CRATING	1	0
.DRIVER - VERY LONG DRIVEWAY	1	0
.EXTRA LABOR	1	0
.GARAGE NOTES	1	0
.OUTBUILDINGS	1	0
.PAYMENT - BILL COMPANY	1	0
.TV DISMOUNT	1	0
.VALUATION - FRV - NO DEDUCT	1	0
PBO - Tools	1	10
Ladder - Bedroom	1	4
TV Mount	1	2
Weight Rack/Stand	1	15
Weight System	1	80
Weights - dumbbell/barbells	1	20
Credenza lg	1	35
Painting - other	1	4
Building Materials: wood, misc	1	15
Jack, floor	1	3
Mop/brooms	1	2
Saw - Chop type	1	10
Kitchen Table - LG/Farm type	1	30
Dryer - 3rd Party	1	25
Computer Component	1	2
Computer System	1	9
Firearms	1	5
Cat Scrather	1	4
Roof Racks	1	7
Wheel Barrow	1	20
Desk Return	1	15
Washer/Dryer (Stacking)	1	50
Massage Chair	1	15
Shovels	1	1
Child Walker	1	3
Room Divider	1	10
Concrete Statute	1	10
Inversion Board	1	20
Water Jug - 5 gal	1	6
office chair	1	10
coffee table	1	5
heater floor	1	3
plastic 3 drawer	1	8
Hoist	1	22
Matt's	1	10
paddle	1	1
kayak 10 ft	1	15
PBO Dishpack	1	10
Power Washer - Gas Powered	1	15
Blanket Wrap Railings	1	0
Bulky Article(s). List:	1	0
Extra Labor	1	0
Floor protection - carpet shield. How many feet?	1	0
Hardwood Floors - how many feet to be covered?	1	0
Desk - With Return	1	50
Vaccum - Shop Vac	1	4
Microwave Table	1	8
Trash Can - large	1	7
Doll House - Large	1	10
Metal frame	1	10
tub	1	1
Pipes	1	2
Water Softener System	1	10
File Cab, 2-3 dr	1	10
TV - Flat under 40"	1	4
TV - Flat over 40"	1	8
.Appliances-All Major Stay	1	0
.Flooring-Carpet	1	0
.Flooring-Partial Wood	1	0
.Flooring-Tile	1	0
.Origin-Multi level home	1	0
.Origin-Paved Driveway	1	0
.Origin-Paved Road	1	0
.Origin-T/T Accessible	1	0
.Terms-CP=Carrier Pack	1	0
.Terms-PBO=Pack By Owner	1	0
Heavy Bag / Stand	1	25
Hot Tub - Large	1	80
Skis Boots Poles	1	8
ski bag	1	10
Lawn  Water Hoses	1	5
armiore	1	45
Dumbell/Barbell	1	5
Microwave / TV Cabinet	1	10
Saddle Stand	1	10
Wood Crate	1	5
Fire place	1	25
Drum kit	1	12
Taxidermy Deer	1	5
Metal Shopping Cart	1	2
sporting equipment	1	10
tent or canopy	1	5
Chiminia	1	16
cat exercise tower	1	2
power wheels	1	10
Quad	1	35
Wood Plank	1	10
Table -Sofa	1	10
TV mount	1	5
Bed frames	1	5
ARCHERY IN CASE	1	7
CRATE	1	20
CROQUET	1	5
FIREPLACE	1	20
FISHING RODS	1	1
HAND TRUCK	1	5
HOCKEY STICKS	1	1
HUNTING EQUIPMENT	1	8
INTERLOCK MATS	1	2
JACK STANDS	1	3
SNOWBOARDS	1	2
UTILITY LIGHT	1	5
WORK MATE	1	2
GUITAR	1	1
BREAKFRONT	1	40
CHAIRS STACKED	1	12
CHIMNEA	1	12
DECK BOX	1	20
GATES	1	2
ATTACHMENT	1	15
BICYCLE	1	5
CANOE LESS THAN 14 feet	1	20
DOG BOX	1	7
FUEL TANKS PLASTIC EMPTY	1	1
PLOW ATTACHMENT	1	20
RAKES AND SHOVELS	1	5
TURKEY FRYER	1	5
RUG 5 x 8	1	10
HAMPER	1	3
JEWELRY ARMOIR	1	5
FOUNTAN	1	25
GARDEN EQUIPMENT	1	10
HOIST FOR MOTOR CYCLE	1	16
MOTOR FOR BOAT SMALL	1	7
MOWER	1	15
Washer & Dryer	1	60
Umbrella stand	1	7
Building materials	1	50
BBQ - XL	1	20
Carper cleaner	1	4
Compressor - small	1	4
Jack stand	1	3
Ladder -Magic	1	7
Plastic Bin 3	1	3
Plastic Bin 5	1	5
Basketball Net	1	15
Patio - Chair	1	5
Patio - Loveseat	1	7
Patio - Table, Coffee	1	5
Patio Table - Large	1	25
Dresser - Chest of Drawers	1	20
PBO wardrobe ctn	1	10
Toki torch	1	1
Bed headboard	1	6
shuffle board	1	50
pop corn machine	1	5
wagon wheels	1	7
chalk board	1	3
Night stand	1	5
Table - coffee	1	5
Metal shelves	1	25
Shoe stand	1	3
White board	1	20
Washing machine Top load	1	25
Christmas Tree Bag	1	10
Everlasting	1	20
Console	1	15
Vinyl Drawers	1	6
Packer Game	1	10
Dolly - 2 Wheeler	1	4
Dressform	1	8
Hairdryer - Commercial	1	8
Cabinet - Drysink	1	10
Chaise - Metal	1	6
Garden Pot Lg	1	6
Poker Table	1	15
Rack - Wine Sm	1	2
Scooter - Electric	1	7
Motor Cycle - Harley	1	50
Lawn Mower - Attachment	1	12
Car Ramps - 2	1	6
Basketball Goal-Childs	1	10
Washing Machine-Front Load LG	1	30
Printer/copier	1	5
basketball hoop.	1	40
TV - Flat 30 to 50	1	20
chair massage	1	30
wheelchair	1	5
Armoier	1	30
desk small	1	5
flower pots	1	3
flower pots large	1	5
table patio	1	10
wood rack	1	10
Electronic Keyboard	1	15
Air Filter	1	4
Lightstand	1	4
Baby Jogger	1	7
Kitchen Island - Med	1	20
Big Green Egg BBQ	1	20
Composter	1	10
Copper Bin	1	2
Lawn Mower - Power LG	1	35
Leaf Blower LG	1	10
Power Tool - Lawn LG	1	2
Viddle Vault	1	2
Chest - Blanket	1	13
Table - Game	1	20
Table - Top	1	5
Table - Patio End	1	3
Hose & Reel	1	8
Painting - Oil	1	2
Tree Trimmer	1	3
.BULKY - CANOE/KAYAK < 14'	1	0
.CUL DE SAC - ISLAND	1	0
Elliptical	1	15
Luggage Set - Full	1	10
Bed - Child OR Rollaway	1	10
Glider / Settee	1	15
Sofa - Sectional (3 Piece)	1	45
Snow Thrower	1	15
Table - TV (Set of 4)	1	4
Shelving Unit -  4 Shelves Chrome	1	7
Canoe - < 14'	1	10
Teatherball	1	15
Desk - Return	1	10
table, folding	1	4
nothingmore going	1	0
Chair - Theater Per Section	1	20
Chaise Lounge - Metal	1	10
Misc. Item 15	1	15
stairs	1	10
work table	1	15
Ceramic Planter	1	10
