Name	Number	Ctf
LAMPS	26	0
nothing else goes	26	1
Racks	26	2
bed-footboard	25	10
computer	25	5
Workmate	25	5
Table - Bedside / Night	25	5
Scale	25	3
Armoir	25	28
Chair - Child	25	1
TOTE - Small	25	2
Antique Sewing Machine	25	10
Drum	25	5
Metal Shelf	24	15
EASEL	24	3
Fish Tank	24	15
Tackle Box	24	1
Baskets	24	2
Amps	24	9
Plastic Bin Medium	24	3
Tote - Medium Packed	24	4
Sawhorse	24	3
trash can	24	2
Ladder - Step	24	3
Waste Basket	24	1
saw horse	24	3
Coat Tree	24	2
.FURNITURE - UPHOLSTERY	24	0
Chair - Porch	24	2
Bookshelf, Medium	24	9
Table - Changing	24	12
wall unit	24	30
Misc 25 cu	24	24
Sled / Skis	24	2
Shelving Unit - Plastic	24	4
COMPUTER EQUIPMENT	23	4
Massage Table	23	10
mats	23	4
Washing Machine Front Load	23	27
Dog crate	23	7
Basket - Laundry	23	1
Plastic Toys Medium	23	3
Plastic Container	23	7
PBO - 1.5 (SMALL)	23	2
.IMPORTANT NOTE	23	0
Bench - Weight	23	5
cabinet, small	23	7
Handtruck	23	7
doll house	23	11
Sports gear	23	4
.PACKING - FULL	23	0
saw horses	23	4
sporting goods	23	5
Bed -- Frame	23	4
grandfather clock	23	30
Car Top	23	8
Pbo Carton	23	5
Table-Folding	22	5
playpen	22	4
Amplifier	22	5
Divider	22	6
Bean Bag	22	7
tub/basket	22	1
miscl	22	11
Footlocker	22	7
bike rack	22	4
Drying Rack	22	2
Baby Gate	22	2
.FLOORS - HARD WOOD	22	0
Chair - Recliner	22	19
printer	22	3
Chair - Outdoor	22	5
Bowling Ball/Bag	22	2
Sofa - Leather	22	40
Shelving Unit - Metal	22	4
Lamp floor	22	3
Misc 20 cu	22	20
Electronics	22	2
Amphs	22	4
Whicker Sofa	22	13
Chairs-Plastic	21	1
amplifier	21	6
CAT TREE	21	4
Mattress	21	17
Dresser - Normal	21	25
Cat Post	21	5
Sofa-Hide	21	56
flat screen LCD t.v.	21	20
dog cage	21	4
.FLOORS - CARPET	21	0
Table - Small outdoor	21	2
Hydraulic Jack	21	5
Shelf, Plastic	21	4
compresser	21	10
TV - Flat Panel - Small/Medium	21	5
Chandelier	20	7
TV TRAYS	20	5
Bicycle-Kids	20	3
chest	20	9
dog bed	20	4
Crate	20	11
Xmas decoration	20	3
dog crate	20	5
ski	20	2
chest of drawers	20	24
.ORIGIN - HOME	20	0
Lathe	20	28
SPORTS BAG	20	1
Front Load Dryer	20	30
Miscellaneous	20	15
Piano - Upright	20	70
Dog House	20	8
Cabinet - Medium	20	11
Box	20	4
BBQ	19	12
COAT TREE	19	5
Kitchen Cabinet	19	30
Wire Bin	19	2
Flat TV	19	11
shelf, plastic	19	4
.FLAT SCREEN TV - > 40" CP	19	0
Heater	19	3
BOXES	19	3
Table Leaf	19	3
PC TOWER	19	7
Arcade Game	19	46
.FURNITURE - LEATHER	19	0
chair, folding	19	2
Shelving Unit	19	9
Luggage Rack	19	3
Tile Saw	19	3
Globe Table	19	4
Hose	18	5
Shelf Plastic	18	3
Drafting Table	18	19
Table - Leaf	18	3
